Borough,Count
Camden,6
Westminster,5
Richmond upon Thames,3
Kensington and Chelsea,3
Wandsworth,3
Barnet,2
City of London,2
Bromley,2
Hillingdon,1
Greenwich,1
Haringey,1
Havering,1
Merton,1
Enfield,1
Tower Hamlets,1
Hounslow,1
Harrow,1
Lewisham,1
Islington,1
Ealing,1
Sutton,1
Waltham Forest,1
Redbridge,1
Croydon,1
Kingston upon Thames,1
Barking and Dagenham,0
Bexley,0
Brent,0
Hackney,0
Hammersmith and Fulham,0
Lambeth,0
Newham,0
Southwark,0
